date,value
10/01/19,1956
10/02/19,1948
10/03/19,1221
10/04/19,1221
10/05/19,1221
10/06/19,1221
10/07/19,1221
10/08/19,1956
10/09/19,1948
10/10/19,1221
10/11/19,1221
10/12/19,1221
10/13/19,1221
10/14/19,1221
10/15/19,1956
10/16/19,1948
10/17/19,1221
10/18/19,1221
10/19/19,1221
10/20/19,1221
10/21/19,1221
10/22/19,1956
10/23/19,1948
10/24/19,1221
10/25/19,1221
10/26/19,1221
10/27/19,1221
10/28/19,1221
10/29/19,1956
10/30/19,1948
10/31/19,1221
11/01/19,5843
11/02/19,1994
11/03/19,1994
11/04/19,1994
11/05/19,1994
11/06/19,1948
11/07/19,4386
11/08/19,5843
11/09/19,1994
11/10/19,1994
11/11/19,1994
11/12/19,1994
11/13/19,1948
11/14/19,4386
11/15/19,5843
11/16/19,1994
11/17/19,1994
11/18/19,1994
11/19/19,1994
11/20/19,1948
11/21/19,4386
11/22/19,5843
11/23/19,1994
11/24/19,1994
11/25/19,1994
11/26/19,1994
11/27/19,1948
11/28/19,4386
11/29/19,5843
11/30/19,1994
12/01/19,1994
12/02/19,1994
12/03/19,1994
12/04/19,1948
12/05/19,4386
12/06/19,5843
12/07/19,1994
12/08/19,1994
12/09/19,1994
12/10/19,1994
12/11/19,1948
12/12/19,4386
12/13/19,5843
12/14/19,1994
12/15/19,1994
12/16/19,1994
12/17/19,1994
12/18/19,1948
12/19/19,4386
12/20/19,5843
12/21/19,1994
12/22/19,1994
12/23/19,1994
12/24/19,1994
12/25/19,1948
12/26/19,4386
12/27/19,5843
12/28/19,1994
12/29/19,1994
12/30/19,1994
12/31/19,1994
01/01/20,1948
01/02/20,4386
01/03/20,5843
01/04/20,1994
01/05/20,1994
01/06/20,1994
01/07/20,1994
01/08/20,1948
01/09/20,4386
01/10/20,5843
01/11/20,1994
01/12/20,1994
01/13/20,1994
01/14/20,1994
01/15/20,1948
01/16/20,4386
01/17/20,5843
01/18/20,1994
01/19/20,1994
01/20/20,1994
01/21/20,1994
01/22/20,1948
01/23/20,4386
01/24/20,5843
01/25/20,1994
01/26/20,1994
01/27/20,1994
01/28/20,1994
01/29/20,1948
01/30/20,4386
01/31/20,5843
